Rank,Nickname,Points
252	DZO	10764
253	Skeith	10720
254	kezo	10705
255	Jojo	10697
256	Spooky	10661
257	Moiman	10658
258	Cherry	10640
259	Reed	10582
260	ALPHA	10546
261	Keiss	10525
262	venoM	10524
263	AspHyXiA	10508
264	simple	10500
265	Ark :3	10496
266	Ayame	10476
267	Cola Dose	10473
268	lola	10447
269	Jakral	10376
270	it robertusg	10367
271	natchies	10356
272	x.RaveN'	10338
273	Patiga	10336
274	StorмPʜöɴix	10332
275	-Twist°~	10323
276	garry	10314
277	BisZ	10282
278	Phoenix	10274
279	Novo c:	10269
280	Neben	10262
281	brainless tee	10235
282	3oTo	10223
283	Radoo-'SaT	10221
284	2oo	10217
285	Beard	10214
286	RageBaby	10197
287	Natsume	10194
288	Dherian!	10173
289	Hunter13ua	10113
290	abcqwerty	10105
291	Cans	10082
292	ReD	10082
293	BRAIT	10073
294	fikmesån	10049
295	15	10041
296	less	10005
297	Qywinc	9989
298	Rᴇᴇvıᴇ	9977
299	猫猫	9972
300	xXxTee'	9959
301	SP | Someone	9951
302	Shiro01	9944
303	Diiego:3	9942
304	Saki`	9907
305	(1)TyшkaNчuk	9884
306	TeeLee	9878
307	'Aka_Bartosz'	9871
308	Pfandflasche	9856
309	(1)	9850
310	Julia :3	9846
311	DA`VI	9836
312	egorfake	9821
313	Avasus	9819
314	Themix	9815
315	mY selF'	9815
316	M Emile	9805
317	⚡-ӃR١✗✗	9761
318	rezee	9720
319	LeRa	9686
320	Cadi	9668
321	Skadi	9643
322	Yek	9632
323	darky	9624
324	Bolox	9615
325	Sunshine	9610
326	RedFight	9546
327	Z[a]X	9546
328	maniac	9536
329	=645654=	9535
330	YaaOmo	9515
331	lock	9513
332	Atomic	9500
333	»Norbi«	9498
334	Zasa	9491
335	950	9485
336	Issi	9474
337	íᶮϠi	9424
338	(D)Cor	9373
339	Skrill	9349
340	Welf	9339
341	Whorty.	9337
342	AbyssY	9335
343	Greenman	9329
344	Van Flyheight	9317
345	绝对白给	9269
346	NYZE	9227
347	lNobody22l	9221
348	hannibal	9220
349	猫	9210
350	zattttt	9188
351	superob96	9168
352	The Direwolf	9136
353	B'RexterPL	9130
354	zessU	9108
355	Vycik	9048
356	Shisui.	9027
357	der_klang	8989
358	Neko	8987
359	nether	8982
360	umbrella	8977
361	Jore	8942
362	Bes	8935
363	watёr	8933
364	chopnixDE	8903
365	Habibi57	8891
366	FunCat	8887
367	stompie	8887
368	Vendetta	8869
369	kill the tee	8862
370	ElNuVaTo	8860
371	Mariac	8847
372	onionly .me'	8841
373	okmine|Bro	8839
374	=phacrum=	8833
375	Lord.YoYo	8833
376	Fexa	8829
377	Jambi*	8828
378	electrohock777	8828
379	keyzR	8814
380	:0	8795
381	لارقام✈	8791
382	FeaRZ	8781
383	Arrow	8748
384	Desu	8746
385	valeROM	8740
386	TomeeY	8728
387	Miausuke	8713
388	DataClaw	8706
389	javi	8705
390	hi_leute_gll	8684
391	玉子	8680
392	BeaR	8679
393	Millar.-	8677
394	Shadou	8672
395	Łorenzo→♡	8669
396	Larlok	8652
397	hussainx3	8644
398	Carrey	8637
399	Shiriusu	8634
400	TeRaTeX	8606
401	Broei	8604
402	Lem0n	8599
403	Trill	8577
404	ByEdGaR	8573
405	Sad*Boy	8564
406	ZombieTop	8561
407	~Sr.Trululu~	8546
408	Element Finland	8545
409	Mystogans	8535
410	123dd	8523
411	Dr. Jekyll	8508
412	Mafuyu	8498
413	Jonaà	8480
414	nopea	8479
415	Kasia	8466
416	Sui :3	8459
417	Avo	8448
418	Lautre fan	8430
419	_XIAOXIAO_	8413
420	Negativ	8399
421	我就蹭蹭	8397
422	Sweeeeet GM :>	8395
423	Đϻτεε	8387
424	Damocles	8356
425	|Michel	8351
426	Loop :3	8345
427	Bennji	8342
428	Mr. Hyde	8338
429	LLFS	8334
430	milky way	8319
431	Puncha	8309
432	King	8308
433	bindi	8305
434	Ninjed	8286
435	Gwendal	8283
436	٭ıƞdex'<3	8278
437	cB|henki	8243
438	Albano	8240
439	AssasinMaster	8227
440	͡° ͜ʖ ͡°	8224
441	ÑE	8196
442	Kaniosek	8178
443	gdin	8159
444	Yuzu	8156
445	Necrid	8140
446	Rage	8138
447	froid.'	8132
448	snailx3	8129
449	Gloomy	8127
450	冷風a	8120
451	18m/s	8119
452	[D]NovaShock	8115
453	{;-_Pa!n_-;}	8111
454	Qu!ck	8105
455	Lagar	8105
456	Mos	8100
457	zyr.f	8089
458	Doid	8081
459	Ļåҕ | Duck	8066
460	Cartman	8062
461	A6pu	8062
462	Pilotaraflo_	8044
463	zff	8022
464	*~Cooki3~*	8013
465	Hu.	7997
466	Fireball	7976
467	Nyanto	7976
468	Fourvride	7972
469	The Real Nami	7972
470	YK	7972
471	qwerty	7938
472	ShenFRusH	7922
473	RayB.	7912
474	dIeD	7907
475	Isaac.	7907
476	peachyx	7906
477	Bawki	7900
478	H٤иđعгĩα	7893
479	timakro	7877
480	AerToX	7868
481	Pistro	7846
482	xeno	7845
483	cris	7843
484	RosenVerkäufer	7842
485	Fraanco	7830
486	»Zubasa.	7825
487	Luxury	7815
488	hamster	7814
489	Kuchen	7796
490	Sя.ÐǾĠ€	7778
491	CroCK	7777
492	Polector	7777
493	Shinoa :3	7777
494	Trâzk	7768
495	OsheOse	7764
496	sMo0g	7757
497	DarkOort	7744
498	杨帆	7741
499	texnonik	7690
500	J̷ɛe̷a̷nd	7677
501	MrCarl	7673
502	Joker	7669
503	SkyHDTV	7659
504	Trap	7640
505	Nightcall	7633
506	Mícronex	7630
507	VL100	7625
508	Baby Groot	7617
509	Frr :3	7601
510	Songoku	7585
511	noler oj	7571
512	RoyalSeriousLee	7557
513	B/\\NKSY²	7551
514	Skiliou	7551
515	snAko	7548
516	sendi	7532
517	Pastoer	7525
518	Kaama	7518
519	Plowpowa	7515
520	SBL	7505
521	ItachiEA	7485
522	itsnoKonsti	7485
523	Folugen	7482
524	Ninja_Valik	7475
525	Nexarius	7470
526	Zaracher	7465
527	黑	7460
528	Elephant	7448
529	Ryozuki	7446
530	Neizvestniy	7444
531	Ѡєєzϻє	7442
532	DarkPikachu	7440
533	leayoue.	7436
534	Comebäck	7435
535	marzzzello	7429
536	Jonissi	7428
537	Zweitleben	7419
538	Candyx*	7415
539	Flanely	7410
540	iF' N!ce	7408
541	mid	7400
542	Mannyking	7397
543	Rorro	7395
544	miu	7389
545	ΌℬitO➏34	7383
546	Fera	7376
547	Fallet'	7374
548	SkiLLz	7373
549	Sasori	7363
550	Pio	7363
551	nothing	7361
552	Cloudly	7359
553	hZedres	7350
554	FanTal1ty	7349
555	ÐȺRCØ []	7349
556	Gambol	7345
557	Dan_cao	7343
558	黑化窜天猴	7339
559	Blum	7334
560	Horyuw	7327
561	Sanjar	7299
562	Irishidiot	7290
563	Jac0X	7287
564	q(-_-)p	7279
565	Liverpool	7277
566	Kandia	7273
567	SupaNovA	7271
568	Pish4	7260
569	Velozity	7259
570	By	7252
571	KuZu	7247
572	Chirua	7245
573	DAgz	7242
574	FapMan	7240
575	Skycloud	7230
576	TeeFreZZ7Tee	7229
577	Fiksiki	7213
578	tobu.	7190
579	Keyowah	7188
580	Pilbo	7178
581	Gr1t1sh	7165
582	Chad	7154
583	Riddim	7147
584	Phaturia	7138
585	louis	7127
586	Juandissimo	7125
587	Bearcat	7122
588	DostorNutria	7112
589	reVar	7109
590	ИІқά◦	7103
591	Grizzly	7098
592	Blue	7088
593	aMu	7085
594	Krombacher	7085
595	Risk	7085
596	smile	7083
597	玉米	7080
598	Charlie➶	7067
599	AM|Notorious✔	7065
600	Jericho	7062
601	nathanj	7061
602	nigger	7061
603	Gloriousitirity	7055
604	WojMen	7049
605	Redy :3	7044
606	Hav	7033
607	Gazebr	7031
608	melosaco	7029
609	Frieze_42rus	7027
610	bit	7026
611	TDPL	7026
612	lx07:3	7020
613	Weedbärchiii	7014
614	ムSkyrx	7008
615	Teach Me	7007
616	.lililil	7007
617	Sorah	7001
618	UnCool Me	6986
619	Luna	6980
620	Knacker	6979
621	Alasia <3	6971
622	SevenM1nutes	6965
623	Makima	6961
624	Agressor	6946
625	Lwai	6945
626	Fumm	6930
627	¥ø¢	6928
628	Lenah	6917
629	Broken	6914
630	caritouwu	6899
631	Loc Adc	6898
632	Coke	6884
633	Ganjah	6880
634	Apchih	6862
635	staylo	6856
636	JsxfT	6854
637	ṨtylerTime	6850
638	OnePiece	6841
639	Orbit	6836
640	@string/name	6833
641	holic	6829
642	CrashtimeHD	6806
643	Syltoox	6803
644	Asma	6796
645	Bugsy*	6792
646	cB YoU	6789
647	ggSimba	6786
648	RockerMan	6763
649	xiaocan	6761
650	WAFthfguaq19012	6746
651	Dust fall	6744
652	Spyker	6742
653	暖阳	6741
654	handi	6736
655	若非她	6732
656	cB|timur	6730
657	iKizu	6698
658	Gyro	6697
659	mustD1e	6694
660	Wolƒ.▲	6689
661	diamantium	6670
662	大块	6668
663	Eyex	6667
664	MilTee	6660
665	Neger	6655
666	青迎月	6647
667	Nixmo	6645
668	白墨	6641
669	Koksy	6635
670	TheGhast	6634
671	Zedow	6602
672	Aria	6598
673	R!ZH@S^^	6597
674	Anxton	6595
675	BayBaeBear	6588
676	Schnuffelpuff	6588
677	TOWARISH	6583
678	Nidalee	6579
679	Broniya	6578
680	bob	6576
681	Reonarex	6559
682	Toffee	6551
683	Souly	6545
684	r4ptur3	6544
685	Monkeyja	6530
686	[D]coradax	6526
687	Rolf	6517
688	Ɗıƞo	6498
689	Djole^	6495
690	SANIC	6495
691	NidardoHD	6493
692	MadPezkoh	6489
693	moonan	6489
694	|M| Hugo	6488
695	Alice30	6482
696	Anqel	6482
697	MaDLeX	6477
698	szaro	6477
699	Bschil	6463
700	Zephir	6461
701	Vinci	6457
702	Skindred	6453
703	Eng	6444
704	me 2	6435
705	Greeen	6430
706	ultimatum :)	6428
707	Beast	6406
708	¶₩αr·Ṩ·	6403
709	K.LoLiK	6398
710	anonymous	6389
711	Nugget	6377
712	Futiao.SengSang	6376
713	猫猫人	6368
714	Matrose l_I	6355
715	Cazz	6352
716	D@wiE	6350
717	secreT	6349
718	Lifkug	6341
719	Clover	6339
720	Vorpallulu	6338
721	Virus2k	6332
722	XX	6324
723	keepmypl	6323
724	danylr	6322
725	Oldnescius	6320
726	Wiplash	6313
727	Mømø	6308
728	Doc带你飞	6300
729	Noez	6296
730	SvechAS	6294
731	Радость	6294
732	Fěng	6286
733	gB. | FeIs	6280
734	Shorts	6279
735	Artac	6278
736	gigi7187	6274
737	.pet	6266
738	及时行乐	6261
739	КОПАТЫЧ	6253
740	ŮselessṪea	6253
741	2_Ta6LeTki_LSD	6252
742	Ⱨᴓςʜᴣ	6246
743	#eci.in`	6241
744	晴天	6237
745	S0PRAN0	6227
746	Solid	6226
747	.Bearz*	6218
748	MDMA	6201
749	~0	6198
750	CheekepoO	6193
751	gB. | Zerodin	6191
752	sen pa'	6185
753	Andrew	6170
754	Togepi	6162
755	painn	6162
756	OverturnedOnion	6159
757	Moni	6129
758	Wizh	6128
759	CoBa	6116
760	Madass	6112
761	Linah	6112
762	Fuk0	6108
763	cx384	6103
764	The Tee	6095
765	Gin	6088
766	NetFusion	6085
767	CrystalOnix	6084
768	Mafer	6080
769	souuu	6076
770	Woozie	6073
771	Tridemy	6070
772	ZameR	6068
773	Shαkα	6057
774	AlphaKennyBody	6056
775	ɱɌϻȁtЄʂЖ	6054
776	十八	6054
777	PitausK	6048
778	SantosTuMacho!	6039
779	Carl	6037
780	Sorry	6035
781	Luke	6033
782	nealson T'nP	6029
783	Outs	6024
784	cgg	6017
785	72	6014
786	Abadon	6010
787	Sakidō	6008
788	Refrums	6003
789	Nekoma	5993
790	mys	5988
791	Natzer	5985
792	Λrktis	5980
793	\\\\=DLG=//	5956
794	Rudra	5954
795	Dropix	5951
796	Likyta	5949
797	4twenty!	5948
798	[NC]Slifer	5944
799	Arzatar	5943
800	mrs.	5942
801	Misse	5941
802	Sir Knuddel	5934
803	Ninja<33	5926
804	noby	5925
805	Tiamat	5924
806	Moooo	5913
807	Haraknos	5900
808	n000b	5899
809	Sheon	5897
810	Yumiko	5893
811	Mizkibo	5888
812	Suppe	5887
813	Hieloo	5885
814	HikaRu	5881
815	유빈	5878
816	mikey12	5864
817	Shima enaga	5845
818	francisca*-*	5844
819	Hey, fuck you!	5836
820	天然二	5834
821	Lilith	5832
822	ржавый	5813
823	fish	5813
824	chenguo	5811
825	Problemkind.	5805
826	meew'	5792
827	eujax	5787
828	Phazeyy	5784
829	norbert545	5780
830	WizKate	5779
831	Tadzio	5778
832	Robot?	5777
833	>DragZ<showoff	5771
834	Ikarus :3	5765
835	fox	5757
836	ThatIvan69	5755
837	SH[]CK	5754
838	Славка	5752
839	LyKos	5752
840	ScreaT	5748
841	vvaka=*	5740
842	Re	5733
843	φι	5731
844	Kei	5731
845	黎若雨	5730
846	Metal For Life	5729
847	Kappa	5725
848	Tumbler	5721
849	brain	5717
850	ƤØŢĀŤ0|Co	5716
851	Mıss Fʋггצ	5715
852	美味	5715
853	Vexis	5712
854	.	5711
855	K u B u	5711
856	Hitaru	5710
857	oBc.BeLieVe iT	5702
858	MindlessRookie	5694
859	GOO	5692
860	早坂愛上我	5686
861	cringe+	5677
862	Gen	5675
863	Lecter	5672
864	Hyru	5667
865	猪队友	5667
866	乇ﾚ√ﾉ丂	5665
867	[D] ByEdGaR	5663
868	By^Kuroko	5663
869	BlueMeww	5656
870	Magic'x3	5655
871	Thurzin	5652
872	1d2k3s	5647
873	一城之诗。	5644
874	乌鸦坐飞机	5625
875	steandre	5624
876	imp	5614
877	ObeyxSwags	5613
878	MingYue	5612
879	The28AWG	5601
880	JeFf	5594
881	Josh523411	5593
882	Bijumiro	5589
883	yaoyy	5587
884	⌨	5586
885	Axel	5584
886	Bonny	5577
887	Shishigami	5573
888	Pados	5571
889	sevvv.aa	5567
890	Five'O	5566
891	Banger	5563
892	Lier.	5561
893	Green	5560
894	sux	5550
895	Delo	5549
896	Wollwolke	5545
897	Vy0x2.'	5544
898	⚡-єxoтi¢	5534
899	Novic	5533
900	Farbod	5531
901	救援-萌新	5530
902	Ironik	5526
903	Noved	5522
904	WillR	5516
905	Men of Steel	5514
906	QB貓	5514
907	notfix	5503
908	Espancador	5501
909	是清明呀	5497
910	upoz	5496
911	Ď∑ĀĎ Ąŋ	5492
912	Frosty	5489
913	omaiga	5486
914	new boy	5486
915	sheep	5483
916	SmokeR	5477
917	NRG	5473
918	Daffer12	5472
919	DarkCat	5471
920	ChillerDragon	5463
921	miamia	5462
922	SkrrrrTom	5460
923	UMR	5459
924	Garoven	5454
925	flash	5451
926	L	5442
927	小馒头	5439
928	Nieme	5431
929	Atomcat	5430
930	TX	5425
931	PAWA_Master_X	5421
932	Pth.s	5420
933	IF	5419
934	Volvicc	5414
935	Parawhy	5413
936	will	5409
937	Stryler	5402
938	Keira	5400
939	Matodor	5399
940	₱am	5398
941	f4bian	5384
942	Al.Se.	5384
943	xoxo	5382
944	Zspy	5382
945	MrAppendixX	5378
946	Gridwyn	5372
947	kastetx	5371
948	Drifer	5364
949	KynɨʟɨӼ	5353
950	CAVEIRAFIRE	5349
951	JULITO CESAR	5347
952	H2 rDDDDD	5343
953	grmvn	5334
954	☆八云紫☆	5332
955	GreenDragons	5326
956	senseye3	5326
957	Gobrox	5325
958	afterfx	5317
959	Fizz mid	5307
960	Pzeko	5305
961	:Ram	5299
962	Dum	5298
963	Testosteron.'	5297
964	.Sadabenn	5297
965	KiRA	5296
966	Bixes	5293
967	VipeR	5292
968	~Thunder~	5283
969	Hop	5280
970	ZP|Koksy'	5276
971	diVid3	5274
972	Cristall	5274
973	BsRobert	5272
974	RavQ	5265
975	esketit	5264
976	Maybe.	5263
977	BannZay	5259
978	Åmol	5257
979	Mewie	5257
980	ASsassin	5253
981	鲜血配色	5249
982	ersgutertee	5247
983	Xusep	5246
984	Antoki	5240
985	nexusrf	5240
986	c0d3d3v	5240
987	Jasono-san	5236
988	Miø :) ½	5235
989	B.i.G	5235
990	Pedro	5233
991	Venoso	5232
992	BoBoX'	5228
993	风子	5227
994	SoSb	5225
995	Jynon	5220
996	mo	5202
997	laxa	5194
998	Hoseкonseкo	5187
999	Skeptar	5184
1000	Kingjulius	5184
1001	五更琉璃	5177
1002	X-Ray'	5175
1003	still nameless	5166
1004	SHROD	5165
1005	Yo Bitch	5162
1006	umi	5156
1007	~Milaa♥	5155
1008	Paralix	5153
1009	Hel1oween	5151
1010	Angell	5151
1011	Reddy	5151
1012	Ravie	5151
1013	Anubis	5140
1014	WISE	5129
1015	kosior	5127
1016	BLACK-D	5127
1017	think twice.	5126
1018	Łaszczu	5125
1019	󠀡	5125
1020	- Jogginghose	5122
1021	BumBumeq	5122
1022	god*Xola_Xola77	5121
1023	Skizhu	5119
1024	我要做勾神	5117
1025	russsell	5115
1026	Fňokurka oo7	5114
1027	I'm high	5111
1028	Blade	5108
1029	cropa	5107
1030	CovER	5107
1031	梓潼耶	5106
1032	'Schwi♫	5104
1033	7ll	5103
1034	EryX	5099
1035	peterleung	5091
1036	uok	5089
1037	{Assasino Nick}	5085
1038	#Reborn*	5083
1039	Saphire	5080
1040	快乐的萌新	5079
1041	asu	5076
1042	Mind	5070
1043	小涵	5070
1044	Myszoluk	5064
1045	Ixed	5064
1046	chiliking	5060
1047	元帅	5058
1048	#skyrx`skQ	5050
1049	Kaneki-Ken	5049
1050	轻音乐	5048
1051	.DanieL.	5044
1052	Bibi	5042
1053	1	5039
1054	哦还好	5030
1055	ania	5022
1056	.x0r*	5018
1057	ProsTo/urpok/	5018
1058	Poi	5016
1059	GrifonSS	5013
1060	W@l!e	5013
1061	DSS	5011
1062	nuborn	5006
1063	spur	5003
1064	Secret	4999
1065	坎R坷	4990
1066	Nemesis	4989
1067	JonQ	4983
1068	晨晨	4983
1069	Valee>:c	4982
1070	ЗЛЫДЕНЬ	4982
1071	Key	4977
1072	ecips	4975
1073	mB. | dinner	4970
1074	Dimp	4967
1075	秀圈圈	4967
1076	Imba	4964
