Rank	Nickname	CountOfTeammates
1	brainless tee	797
2	Noctua	448
3	nameless tee	436
4	Cendren	419
5	bano	398
6	(1)	368
7	fikmesån	340
8	:)	315
9	iParano	309
10	<BµmM>	304
11	Aoe	295
12	Cireme	284
13	TeeWurst Neon	280
14	Deathman	275
15	Freezestyler	270
16	PeX	266
17	Esckiller	265
18	KlexMikrowelle	264
19	triki	263
20	HaHAxD*	262
21	Cøke	260
22	ZimE	258
23	Kicker	253
24	AvapiX	247
25	GlobQ	243
26	Theon	240
27	Hindu	239
28	shoxX	238
29	Счастье	236
30	Bolox	235
31	Tezcan	234
32	Meow~	232
33	Chairn	228
34	'faceless	227
35	superob96	222
36	Cor	218
37	Avasus	218
38	Elit3N0ob	218
39	krümelmonster	214
40	|JB*|Golden Axe	214
41	nothing	213
42	Kill4FuN	211
43	ad	211
44	BaconDrink	209
45	NeXus	207
46	Starkiller	207
47	Large	207
48	Colo-Colo	204
49	lufu1	202
50	LCSG47	202
51	Black Jack	202
52	StorмPʜöɴix	201
53	Nooback	201
54	simple	200
55	DaGiese :>	199
56	♥|Duca	198
57	Slayer	198
58	Yota.	198
59	Poltix	198
60	Juicy	197
61	Konsti	196
62	qed	196
63	Donger	195
64	YaaOmo	194
65	jao	194
66	R41NB0W	193
67	Keun	192
68	Zhady	191
69	ScReeNy	185
70	coradax	185
71	Jojo	184
72	gB. | Kayumi	183
73	Element Finland	183
74	Smetanolub	182
75	Exotix	182
76	xXxTee'	182
77	seLFiii <33	181
78	hannibal	181
79	=Schulzer=	180
80	SPΞCTRUM	179
81	*|Loading*	179
82	Shima enaga	179
83	|Ŗaþŧurę|	178
84	ReD	178
85	Lady Saavik	177
86	Skindred	176
87	Baby Groot	176
88	froid.'	175
89	H٤иđعгĩα	171
90	Welf	170
91	ano :3	170
92	(1)brainless te	168
93	Ryozuki	168
94	PlantKnight	168
95	Knacker	167
96	sorgaxD	167
97	rezee	167
98	yo bitch	166
99	Cherry	166
100	tatak	164
101	RavenXXX	163
102	-Twist°~	163
103	LuckyStrike	163
104	afterfx	163
105	Fabi`	161
106	Deeper	160
107	Negativ	160
108	Joker.♥	159
109	keepmypl	159
110	clefairy'	159
111	chopnixDE	158
112	4twenty!	158
113	painn	158
114	Crytek	157
115	Hydra	157
116	AspHyXiA	157
117	Knuski	157
118	Sir Kruksic	156
119	Cola Dose	156
120	Yuzu	156
121	⚡-ӃR١✗✗	155
122	Shawn.	155
123	Novo c:	155
124	lola	155
125	Plowpowa	155
126	Matrix	155
127	Hidden-Ezio	154
128	MDMA	154
129	Natsume	154
130	---------	153
131	Łorenzo→♡	153
132	Genex	153
133	Reed	153
134	Lexin	152
135	Wombat	152
136	Gambol	152
137	Cloudly	152
138	Gorden	152
139	Chop Suey	152
140	RavQ	152
141	WhiteBULL	150
142	NovaShock	150
143	Brezzel	149
144	Pio	149
145	Ganjah	149
146	Infern@L	149
147	Jesus Christ	149
148	Isaac.	149
149	LanuX	148
150	RayB.	148
151	Henk	148
152	Sweeeeet GM :>	148
153	-Mage-	146
154	Xploit	145
155	Pastèque	143
156	Men of Steel	143
157	Tea	143
158	Marii	143
159	Fluday	143
160	NANAMAR	143
161	Neben	143
162	hZedres	142
163	Fumm	141
164	Skeptar	141
165	smile	141
166	flash	141
167	MyStery.Fox	141
168	Luna	141
169	Xi	141
170	Alasia <3	141
171	aMu	140
172	timakro	140
173	Zwelf	140
174	Mr.E}|{UK	140
175	I.K.U	140
176	Atomic	139
177	B/\\NKSY²	139
178	Gigabyte	139
179	maggi323	138
180	gB. | Zerodin	138
181	Kuchen	138
182	Kandiifloss	138
183	B'RexterPL	138
184	szaro	138
185	Spyker	137
186	corneum	137
187	faruki88	137
188	superdial	136
189	x.RaveN'	136
190	WojMen	136
191	it robertusg	136
192	BlueMeww	136
193	Sir Skeleton	135
194	RoyalSeriousLee	135
195	Pinou	135
196	Lecter	135
197	Bre3kAcHu	134
198	nether	133
199	₱am	133
200	1	133
